ImageName,Label,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta1_Lambda1_LocalEnergy,Theta1_Lambda1_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta1_Lambda0_LocalEnergy,Theta1_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda1_LocalEnergy,Theta0_Lambda1_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude,Theta0_Lambda0_LocalEnergy,Theta0_Lambda0_MeanAmplitude
3453_original_229a (3).png_1204e789-c4bc-488c-914b-5bc43d4c282e.png,3453,39752,24995,28698,22220,47492,39752,24995,28698,22220,47492,40519,28891,31988,23914,49205,27207,28244,60120,44413,904316,28231,30226,66823,46561,908353,3497246,3481615,3474810,3479134,3491854,3497246,3481615,3474810,3479134,3491854,3500679,3484635,3476768,3481766,3495483,3504689,3487904,3468278,1963883,2072174,3508397,3491984,3469319,1962913,2071265
3453_original_970a.png_80bfa285-9714-48c6-9bbb-d15ed50de0f5.png,3453,63716,40885,44338,34134,80364,63716,40885,44338,34134,80364,62513,41038,44764,35137,80921,44444,44816,97997,81609,1277360,42972,44073,98031,80518,1274803,4903862,4876251,4862780,4871402,4894796,4903862,4876251,4862780,4871402,4894796,4904719,4877380,4863630,4872583,4895729,4916428,4888272,4851933,2748641,2900020,4916784,4888045,4851383,2748266,2899613
3453_original_266a.png_4ac656bd-440f-41a2-929f-4979e654c133.png,3453,74632,62911,69469,55907,73178,74632,62911,69469,55907,73178,69668,61629,67341,64058,74226,66103,69903,112104,118188,1429884,67696,74438,123559,122849,1428852,5474938,5446481,5427939,5439337,5467660,5474938,5446481,5427939,5439337,5467660,5469910,5442843,5424155,5435942,5462248,5481859,5456359,5412212,3056522,3225966,5486808,5462044,5413867,3054577,3224056
3453_original_2898a.png_cedc433e-d63c-453e-8df6-81965a9dabf5.png,3453,75036,64182,77137,72890,69444,75036,64182,77137,72890,69444,80843,68537,71967,66449,78078,73486,73351,106088,159500,1361095,78845,80992,126471,172371,1366483,5175814,5147672,5125275,5139330,5168826,5175814,5147672,5125275,5139330,5168826,5173387,5145031,5124211,5137093,5166022,5181926,5156425,5110574,2885396,3045515,5188801,5164012,5112495,2882887,3043039
3453_original_379a.png_bc94ae88-4af1-4375-91ce-e008f4cd2747.png,3453,96639,99048,105117,102279,99693,96639,99048,105117,102279,99693,105182,86442,90658,90924,102814,102217,103178,156879,242910,1627311,97074,109330,164581,247109,1636063,6153449,6117042,6085335,6105339,6144935,6153449,6117042,6085335,6105339,6144935,6146210,6107332,6079078,6096798,6136460,6160991,6127856,6062635,3419058,3609077,6164290,6132374,6063669,3417937,3607999
3453_original_1387a.png_3af9f00c-235a-4c40-af25-237cbea378dc.png,3453,92606,75454,82351,66566,84328,92606,75454,82351,66566,84328,83161,71791,74390,73515,90042,81230,82405,128485,130224,1433978,84049,88863,150476,139019,1438935,5448240,5412906,5389191,5403762,5439140,5448240,5412906,5389191,5403762,5439140,5442279,5409101,5386354,5400751,5432900,5455134,5422953,5370853,3034906,3202878,5463385,5432135,5373076,3031745,3199765
3453_original_970a.png_a8a5030c-d0dc-4b5d-b88c-58d206f113ea.png,3453,63716,40885,44338,34134,80364,63716,40885,44338,34134,80364,62513,41038,44764,35137,80921,44444,44816,97997,81609,1277360,42972,44073,98031,80518,1274803,4903862,4876251,4862780,4871402,4894796,4903862,4876251,4862780,4871402,4894796,4904719,4877380,4863630,4872583,4895729,4916428,4888272,4851933,2748641,2900020,4916784,4888045,4851383,2748266,2899613
3453_original_2163a.png_2ff940a7-9640-44c2-9472-8118812be669.png,3453,80585,49086,55735,42015,100222,80585,49086,55735,42015,100222,80824,50858,57664,42988,100666,53636,51804,114166,96714,1543524,55003,58446,136003,103423,1552770,5933611,5899200,5883243,5893345,5922146,5933611,5899200,5883243,5893345,5922146,5935756,5901734,5885232,5895812,5924528,5944424,5907936,5868058,3326788,3509756,5956587,5920896,5870999,3323151,3506294
3453_original_229a (3).png_6e951fa2-aa6a-4ab3-acd9-e9917b5ddfe7.png,3453,39752,24995,28698,22220,47492,39752,24995,28698,22220,47492,40519,28891,31988,23914,49205,27207,28244,60120,44413,904316,28231,30226,66823,46561,908353,3497246,3481615,3474810,3479134,3491854,3497246,3481615,3474810,3479134,3491854,3500679,3484635,3476768,3481766,3495483,3504689,3487904,3468278,1963883,2072174,3508397,3491984,3469319,1962913,2071265
3453_original_2898a.png_c774c6d9-1afd-4d7e-b2f0-8412d29e1e9d.png,3453,76358,67771,71737,59172,69907,76358,67771,71737,59172,69907,74134,62279,63630,60510,73633,62830,64726,107100,109972,1349564,71148,74635,130266,119142,1355185,5169886,5141367,5120289,5133356,5162781,5169886,5141367,5120289,5133356,5162781,5159632,5131577,5113362,5124592,5151719,5172252,5145580,5102494,2883540,3043202,5180314,5154797,5104934,2880810,3040543
